,plant,insect_name,damage,min_temp,max_temp,avg_temp,humidity,rain,rain_percentage,humidity_avg
0,Banana,Panama Wilt (Fusarium),Leaf/frond damage,25,34,29.5,85-79,Low,20,82.0
1,Cotton,Whitefly,Shoot tunneling,21,38,29.5,62-74,Moderate,50,68.0
2,Potato,Wireworm,Shoot tunneling,26,34,30.0,88-95,High,80,91.5
3,Maize,Fall Armyworm,Bud/leaf damage,20,35,27.5,85-95,Low,20,90.0
4,Soybean,Soybean Aphid,Root/stem rot,20,36,28.0,50-88,High,80,69.0
5,Potato,Wireworm,Fruit infestation,24,35,29.5,70-72,Moderate,50,71.0
6,Maize,Stem Borer,Stalk tunneling,20,34,27.0,68-88,Moderate,50,78.0
7,Sugarcane,Top Borer,Sap sucking/viruses,24,37,30.5,50-80,Moderate,50,65.0
8,Maize,Corn Earworm,Nut damage/yield loss,25,38,31.5,74-86,Low,20,80.0
9,Sugarcane,White Grub,Sap sucking/hopper burn,23,37,30.0,87-83,Moderate,50,85.0
10,Rice,Yellow Stem Borer,Sap sucking/viruses,24,37,30.5,81-94,High,80,87.5
11,Banana,Weevil Borer,Leaf/frond damage,25,40,32.5,86-84,Moderate,50,85.0
12,Tomato,Tomato Hornworm,Nut damage/yield loss,21,36,28.5,56-70,Moderate,50,63.0
13,Rice,Gall Midge,Leaf defoliation,24,39,31.5,61-85,Low,20,73.0
14,Wheat,Aphids,Leaf webbing,21,35,28.0,80-82,High,80,81.0
15,Cotton,Cotton Leafworm,Leaf/frond damage,24,36,30.0,77-85,High,80,81.0
16,Coconut,Red Palm Weevil,Sap sucking/viruses,25,40,32.5,84-85,High,80,84.5
17,Cotton,Pink Bollworm,Shoot tunneling,25,34,29.5,55-81,Low,20,68.0
18,Sugarcane,Early Shoot Borer,Bud/leaf damage,25,39,32.0,75-75,High,80,75.0
19,Sugarcane,Pyrilla,Leaf webbing,22,39,30.5,74-81,Moderate,50,77.5
20,Tomato,Tomato Hornworm,Trunk boring,22,36,29.0,52-70,Moderate,50,61.0
21,Maize,Corn Earworm,Leaf defoliation,24,39,31.5,71-76,High,80,73.5
22,Wheat,Stem Sawfly,Stalk tunneling,26,40,33.0,56-76,Moderate,50,66.0
23,Rice,Brown Plant Hopper,Top leaf damage,20,39,29.5,84-79,Low,20,81.5
24,Sugarcane,Top Borer,Leaf webbing,21,36,28.5,74-86,Low,20,80.0
25,Cotton,Aphids,Leaf webbing,25,38,31.5,58-83,Low,20,70.5
26,Maize,Corn Earworm,Leaf defoliation,23,34,28.5,65-91,Moderate,50,78.0
27,Sugarcane,White Grub,Stalk tunneling,25,37,31.0,69-75,Moderate,50,72.0
28,Banana,Fruit Fly (Bactrocera),Sap sucking/viruses,26,38,32.0,71-72,Moderate,50,71.5
29,Wheat,Stem Sawfly,Nut damage/yield loss,25,39,32.0,57-83,Low,20,70.0
30,Sugarcane,Early Shoot Borer,Leaf defoliation,26,35,30.5,56-82,Moderate,50,69.0
31,Sugarcane,Early Shoot Borer,Fruit infestation,24,35,29.5,65-70,Low,20,67.5
32,Maize,Stem Borer,Root feeding,21,39,30.0,83-87,Low,20,85.0
33,Wheat,Armyworm,Trunk boring,23,40,31.5,76-82,High,80,79.0
34,Rice,Yellow Stem Borer,Root/stem rot,20,35,27.5,68-70,High,80,69.0
35,Maize,Stem Borer,Trunk boring,21,39,30.0,72-91,Low,20,81.5
36,Maize,Fall Armyworm,Top leaf damage,24,40,32.0,60-81,High,80,70.5
37,Rice,Gall Midge,Stalk tunneling,21,37,29.0,88-76,High,80,82.0
38,Wheat,Stem Sawfly,Sap sucking/hopper burn,20,36,28.0,59-95,Low,20,77.0
39,Soybean,Bean Leaf Beetle,Leaf defoliation,23,38,30.5,90-71,Low,20,80.5
40,Rice,Yellow Stem Borer,Stalk tunneling,24,39,31.5,85-87,Moderate,50,86.0
41,Wheat,Stem Sawfly,Trunk boring,23,36,29.5,62-88,Moderate,50,75.0
42,Coconut,Leaf Eating Caterpillar,Fruit infestation,23,34,28.5,80-78,Low,20,79.0
43,Cotton,Whitefly,Bud/leaf damage,22,38,30.0,70-88,High,80,79.0
44,Tomato,Leaf Miner,Trunk boring,24,38,31.0,80-75,Moderate,50,77.5
45,Cotton,Pink Bollworm,Stalk tunneling,26,39,32.5,66-90,Moderate,50,78.0
46,Cotton,Cotton Leafworm,Leaf/frond damage,21,39,30.0,65-83,Low,20,74.0
47,Cotton,Aphids,Top leaf damage,20,40,30.0,74-84,Low,20,79.0
48,Banana,Fruit Fly (Bactrocera),Nut damage/yield loss,24,35,29.5,62-90,Low,20,76.0
49,Coconut,Red Palm Weevil,Bud/leaf damage,21,38,29.5,71-76,Low,20,73.5
50,Potato,Leafhopper,Top leaf damage,25,36,30.5,78-80,Moderate,50,79.0
51,Maize,Rootworm,Leaf webbing,25,39,32.0,63-85,High,80,74.0
52,Maize,Corn Earworm,Leaf defoliation,25,38,31.5,79-81,High,80,80.0
53,Rice,Brown Plant Hopper,Shoot tunneling,25,37,31.0,68-82,Moderate,50,75.0
54,Wheat,Armyworm,Trunk boring,22,40,31.0,82-91,Low,20,86.5
55,Potato,Wireworm,Fruit infestation,21,34,27.5,75-93,Moderate,50,84.0
56,Maize,Fall Armyworm,Trunk boring,20,38,29.0,85-90,Low,20,87.5
57,Potato,Leafhopper,Nut damage/yield loss,22,37,29.5,80-93,High,80,86.5
58,Potato,Leafhopper,Leaf webbing,23,40,31.5,71-85,Low,20,78.0
59,Potato,Wireworm,Leaf/frond damage,23,38,30.5,57-78,Moderate,50,67.5
60,Soybean,Corn Earworm,Leaf defoliation,21,39,30.0,55-71,Low,20,63.0
61,Soybean,Corn Earworm,Nut damage/yield loss,26,39,32.5,56-77,High,80,66.5
62,Banana,Panama Wilt (Fusarium),Nut damage/yield loss,24,35,29.5,61-74,Moderate,50,67.5
63,Banana,Aphids,Root/stem rot,26,40,33.0,68-70,Low,20,69.0
64,Rice,Gall Midge,Nut damage/yield loss,22,38,30.0,80-77,High,80,78.5
65,Tomato,Leaf Miner,Fruit infestation,24,40,32.0,86-75,Moderate,50,80.5
66,Coconut,Leaf Eating Caterpillar,Leaf/frond damage,24,37,30.5,63-75,Moderate,50,69.0
67,Sugarcane,Pyrilla,Leaf defoliation,26,35,30.5,51-73,High,80,62.0
68,Potato,Cutworm,Sap sucking/hopper burn,24,35,29.5,55-84,High,80,69.5
69,Tomato,Leaf Miner,Leaf defoliation,20,36,28.0,85-85,Moderate,50,85.0
70,Sugarcane,Early Shoot Borer,Sap sucking/viruses,24,35,29.5,87-94,Low,20,90.5
71,Sugarcane,White Grub,Root/stem rot,20,34,27.0,72-73,Moderate,50,72.5
72,Coconut,Rhinoceros Beetle,Trunk boring,26,40,33.0,50-71,Low,20,60.5
73,Cotton,Aphids,Leaf webbing,23,36,29.5,61-78,High,80,69.5
74,Coconut,Rhinoceros Beetle,Shoot tunneling,20,35,27.5,59-93,Low,20,76.0
75,Coconut,Leaf Eating Caterpillar,Trunk boring,25,40,32.5,62-75,Moderate,50,68.5
76,Coconut,Rhinoceros Beetle,Fruit infestation,21,40,30.5,80-83,High,80,81.5
77,Sugarcane,White Grub,Nut damage/yield loss,24,38,31.0,62-93,Low,20,77.5
78,Banana,Weevil Borer,Leaf defoliation,20,38,29.0,50-95,Low,20,72.5
79,Cotton,Pink Bollworm,Root/stem rot,20,34,27.0,54-73,Moderate,50,63.5
80,Cotton,Aphids,Leaf defoliation,24,37,30.5,72-78,Low,20,75.0
81,Sugarcane,Top Borer,Fruit infestation,22,40,31.0,53-90,Moderate,50,71.5
82,Cotton,Whitefly,Root/stem rot,23,40,31.5,52-70,Moderate,50,61.0
83,Potato,Cutworm,Nut damage/yield loss,22,39,30.5,84-92,Moderate,50,88.0
