,Pest_labels
0,Adristyrannus
1,Aleurocanthus spiniferus
2,Ampelophaga
3,Aphis citricola Vander Goot
4,Apolygus lucorum
5,Bactrocera tsuneonis
6,Beet spot flies
7,Black hairy
8,Brevipoalpus lewisi McGregor
9,Ceroplastes rubens
10,Chlumetia transversa
11,Chrysomphalus aonidum
12,Cicadella viridis
13,Cicadellidae
14,Colomerus vitis
15,Dacus dorsalis(Hendel)
16,Dasineura sp
17,Deporaus marginatus Pascoe
18,Erythroneura apicalis
19,Field Cricket
20,Fruit piercing moth
21,Gall fly
22,Icerya purchasi Maskell
23,Indigo caterpillar
24,Jute Stem Weevil
25,Jute aphid
26,Jute hairy
27,Jute red mite
28,Jute semilooper
29,Jute stem girdler
30,Jute stick insect
31,Lawana imitata Melichar
32,Leaf beetle
33,Limacodidae
34,Locust
35,Locustoidea
36,Lycorma delicatula
37,Mango flat beak leafhopper
38,Mealybug
39,Miridae
40,Nipaecoccus vastalor
41,Panonchus citri McGregor
42,Papilio xuthus
43,Parlatoria zizyphus Lucus
44,Phyllocnistis citrella Stainton
45,Phyllocoptes oleiverus ashmead
46,Pieris canidia
47,Pod borer
48,Polyphagotars onemus latus
49,Potosiabre vitarsis
50,Prodenia litura
51,Pseudococcus comstocki Kuwana
52,Rhytidodera bowrinii white
53,Rice Stemfly
54,Salurnis marginella Guerr
55,Scirtothrips dorsalis Hood
56,Spilosoma Obliqua
57,Sternochetus frigidus
58,Termite
59,Termite odontotermes (Rambur)
60,Tetradacus c Bactrocera minax
61,Thrips
62,Toxoptera aurantii
63,Toxoptera citricidus
64,Trialeurodes vaporariorum
65,Unaspis yanonensis
66,Viteus vitifoliae
67,Xylotrechus
68,Yellow Mite
69,alfalfa plant bug
70,alfalfa seed chalcid
71,alfalfa weevil
72,aphids
73,army worm
74,asiatic rice borer
75,beet army worm
76,beet fly
77,beet weevil
78,beetle
79,bird cherry-oataphid
80,black cutworm
81,blister beetle
82,bollworm
83,brown plant hopper
84,cabbage army worm
85,cerodonta denticornis
86,corn borer
87,corn earworm
88,cutworm
89,english grain aphid
90,fall armyworm
91,flax budworm
92,flea beetle
93,grain spreader thrips
94,grasshopper
95,green bug
96,grub
97,large cutworm
98,legume blister beetle
99,longlegged spider mite
100,lytta polita
101,meadow moth
102,mites
103,mole cricket
104,odontothrips loti
105,oides decempunctata
106,paddy stem maggot
107,parathrene regalis
108,peach borer
109,penthaleus major
110,red spider
111,rice gall midge
112,rice leaf caterpillar
113,rice leaf roller
114,rice leafhopper
115,rice shell pest
116,rice water weevil
117,sawfly
118,sericaorient alismots chulsky
119,small brown plant hopper
120,stem borer
121,tarnished plant bug
122,therioaphis maculata Buckton
123,wheat blossom midge
124,wheat phloeothrips
125,wheat sawfly
126,white backed plant hopper
127,white margined moth
128,whitefly
129,wireworm
130,yellow cutworm
131,yellow rice borer
